sys_id,opened_at,closed_at,category,priority,assignment_group,short_description,description
SR10182,2026-01-18 07:40:00,2026-01-18 09:58:26,Access,3 - Moderate,Security Team,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10183,2026-04-22 03:48:00,2026-04-22 08:17:46,Software,2 - High,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10184,2026-03-18 00:02:00,2026-03-18 01:36:28,Network,2 - High,Service Desk,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10185,2026-04-02 11:27:00,2026-04-02 16:27:53,Software,2 - High,Software Support,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10186,2026-04-16 18:43:00,2026-04-17 03:03:45,Hardware,2 - High,Hardware Support,PC 메모리 추가 장착 요청,최근 코딩 작업 시 메모리 부족으로 인해 PC 속도가 급격히 느려집니다. 기존 8GB에서 16GB로 업그레이드 요청합니다.
SR10187,2026-01-21 19:55:00,2026-01-22 17:53:00,Hardware,4 - Low,Hardware Support,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10188,2026-05-30 04:14:00,2026-05-30 06:58:46,Access,3 - Moderate,Security Team,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10189,2026-03-07 21:00:00,2026-03-07 23:15:24,Access,4 - Low,Service Desk,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10190,2026-02-10 02:28:00,2026-02-10 04:40:02,Access,4 - Low,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10191,2026-03-06 14:54:00,2026-03-06 17:47:57,Software,2 - High,Service Desk,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10192,2026-05-04 03:15:00,2026-05-04 07:32:35,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10193,2026-03-17 22:18:00,2026-03-18 01:10:15,Access,4 - Low,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10194,2026-01-03 18:55:00,2026-01-03 20:20:06,Network,2 - High,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10195,2026-02-28 19:51:00,2026-02-28 23:02:50,Network,3 - Moderate,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10196,2026-03-06 21:48:00,2026-03-07 01:35:42,Software,2 - High,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10197,2026-03-21 14:02:00,2026-03-22 05:49:15,Hardware,3 - Moderate,Hardware Support,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10198,2026-01-24 09:20:00,2026-01-25 08:55:44,HR,4 - Low,Service Desk,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10199,2026-02-03 17:56:00,2026-02-03 22:17:02,Access,4 - Low,Security Team,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10200,2026-03-07 15:51:00,2026-03-07 19:44:24,Software,3 - Moderate,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10201,2026-04-30 02:09:00,2026-04-30 10:33:30,Software,4 - Low,Service Desk,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10202,2026-04-04 02:50:00,2026-04-04 10:10:53,Hardware,2 - High,Service Desk,PC 메모리 추가 장착 요청,최근 코딩 작업 시 메모리 부족으로 인해 PC 속도가 급격히 느려집니다. 기존 8GB에서 16GB로 업그레이드 요청합니다.
SR10203,2026-05-18 03:29:00,2026-05-18 06:37:28,Access,3 - Moderate,Security Team,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10204,2026-04-08 20:23:00,2026-04-09 00:47:40,Software,3 - Moderate,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10205,2026-01-07 19:56:00,2026-01-08 01:50:57,Network,3 - Moderate,Network Support,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10206,2026-02-26 20:04:00,2026-02-27 20:30:27,HR,3 - Moderate,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10207,2026-01-30 04:02:00,2026-01-30 05:55:34,Access,3 - Moderate,Service Desk,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10208,2026-01-30 03:15:00,2026-01-30 06:21:19,Network,3 - Moderate,Service Desk,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10209,2026-04-27 11:42:00,2026-04-28 12:34:43,HR,3 - Moderate,HR Team,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10210,2026-02-09 13:41:00,2026-02-10 05:41:30,HR,3 - Moderate,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10211,2026-04-15 08:02:00,2026-04-15 14:33:21,Network,4 - Low,Service Desk,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10212,2026-04-24 07:54:00,2026-04-24 14:11:39,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10213,2026-05-20 20:22:00,2026-05-21 05:14:12,Software,3 - Moderate,Software Support,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10214,2026-02-18 03:54:00,2026-02-18 08:39:20,Network,4 - Low,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10215,2026-01-06 01:50:00,2026-01-06 06:24:11,Access,4 - Low,Security Team,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10216,2026-05-25 06:04:00,2026-05-25 14:55:09,Software,4 - Low,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10217,2026-02-25 07:21:00,2026-02-26 15:39:15,HR,3 - Moderate,HR Team,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10218,2026-02-07 04:34:00,2026-02-08 02:39:46,Hardware,4 - Low,Hardware Support,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10219,2026-01-07 04:00:00,2026-01-07 11:44:55,Software,3 - Moderate,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10220,2026-03-24 00:11:00,2026-03-24 07:17:08,Software,3 - Moderate,Software Support,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10221,2026-04-18 16:07:00,2026-04-19 00:43:00,Software,4 - Low,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10222,2026-04-03 16:37:00,2026-04-03 22:19:35,Network,4 - Low,Service Desk,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10223,2026-02-26 19:02:00,2026-02-27 01:31:01,Network,4 - Low,Service Desk,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10224,2026-01-08 01:30:00,2026-01-09 06:16:48,HR,4 - Low,Service Desk,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10225,2026-05-06 22:58:00,2026-05-06 23:37:00,Access,2 - High,Service Desk,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10226,2026-03-24 19:09:00,2026-03-24 23:17:46,Access,4 - Low,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10227,2026-05-30 17:45:00,2026-05-30 22:52:16,Network,3 - Moderate,Network Support,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10228,2026-05-16 09:29:00,2026-05-16 13:32:17,Software,3 - Moderate,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10229,2026-01-30 20:41:00,2026-01-31 20:13:16,HR,3 - Moderate,Service Desk,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10230,2026-04-26 07:26:00,2026-04-27 13:48:55,HR,3 - Moderate,HR Team,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10231,2026-04-17 23:06:00,2026-04-18 05:58:36,Software,4 - Low,Service Desk,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10232,2026-03-07 11:09:00,2026-03-07 17:06:10,Software,3 - Moderate,Service Desk,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10233,2026-01-22 02:27:00,2026-01-22 05:38:05,Access,3 - Moderate,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10234,2026-05-23 01:37:00,2026-05-23 03:36:41,Network,2 - High,Service Desk,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10235,2026-04-16 11:55:00,2026-04-17 16:59:05,HR,3 - Moderate,Service Desk,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10236,2026-03-21 11:06:00,2026-03-21 11:59:05,Access,2 - High,Security Team,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10237,2026-05-04 07:54:00,2026-05-05 17:53:58,HR,3 - Moderate,HR Team,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10238,2026-04-05 03:48:00,2026-04-05 10:11:45,Network,4 - Low,Service Desk,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10239,2026-05-24 19:39:00,2026-05-24 23:50:49,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10240,2026-03-10 00:11:00,2026-03-11 18:13:01,HR,3 - Moderate,HR Team,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10241,2026-03-31 00:11:00,2026-03-31 07:58:51,Software,4 - Low,Service Desk,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10242,2026-02-06 23:40:00,2026-02-07 04:26:24,Hardware,2 - High,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10243,2026-02-25 12:26:00,2026-02-25 19:17:40,Network,3 - Moderate,Network Support,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10244,2026-04-05 09:46:00,2026-04-05 11:50:39,Access,3 - Moderate,Service Desk,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10245,2026-02-09 05:48:00,2026-02-09 13:39:55,Software,3 - Moderate,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10246,2026-03-11 14:42:00,2026-03-13 03:33:53,HR,3 - Moderate,HR Team,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10247,2026-04-24 13:17:00,2026-04-24 14:03:38,Access,2 - High,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10248,2026-04-21 03:18:00,2026-04-21 08:31:03,Hardware,2 - High,Hardware Support,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10249,2026-03-20 01:14:00,2026-03-21 04:28:32,HR,3 - Moderate,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10250,2026-02-22 09:13:00,2026-02-22 14:41:53,Access,4 - Low,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10251,2026-03-25 03:00:00,2026-03-25 07:13:30,Hardware,2 - High,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10252,2026-02-03 12:34:00,2026-02-03 13:17:19,Access,2 - High,Service Desk,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10253,2026-04-12 23:02:00,2026-04-13 02:49:37,Hardware,2 - High,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10254,2026-01-20 10:36:00,2026-01-20 11:22:11,Access,2 - High,Security Team,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10255,2026-03-16 03:25:00,2026-03-16 04:57:33,Access,3 - Moderate,Service Desk,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10256,2026-04-28 22:58:00,2026-04-29 01:28:39,Network,3 - Moderate,Service Desk,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10257,2026-01-28 07:27:00,2026-01-28 13:14:25,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10258,2026-01-21 12:55:00,2026-01-22 17:51:39,HR,3 - Moderate,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10259,2026-03-27 05:04:00,2026-03-27 08:27:36,Software,3 - Moderate,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10260,2026-05-11 06:57:00,2026-05-11 23:06:31,HR,2 - High,HR Team,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10261,2026-03-02 03:09:00,2026-03-02 06:06:20,Software,3 - Moderate,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10262,2026-02-09 20:04:00,2026-02-10 01:22:32,Software,3 - Moderate,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10263,2026-05-25 18:28:00,2026-05-26 00:07:14,Hardware,3 - Moderate,Service Desk,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10264,2026-02-08 14:04:00,2026-02-08 21:55:54,HR,1 - Critical,Service Desk,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10265,2026-03-12 18:03:00,2026-03-12 20:47:04,Access,4 - Low,Service Desk,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10266,2026-04-29 14:02:00,2026-04-29 20:36:40,Software,3 - Moderate,Software Support,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10267,2026-01-20 20:55:00,2026-01-21 00:09:51,Network,3 - Moderate,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10268,2026-05-29 17:50:00,2026-05-29 20:32:49,Network,3 - Moderate,Service Desk,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10269,2026-02-18 10:38:00,2026-02-18 14:05:16,Network,3 - Moderate,Service Desk,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10270,2026-04-26 03:51:00,2026-04-26 04:30:00,Access,1 - Critical,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10271,2026-02-14 01:15:00,2026-02-14 07:51:39,Software,3 - Moderate,Software Support,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10272,2026-05-14 19:10:00,2026-05-14 20:01:55,Access,2 - High,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10273,2026-04-10 13:49:00,2026-04-10 19:39:39,Software,3 - Moderate,Service Desk,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10274,2026-01-17 10:06:00,2026-01-17 16:46:11,Software,3 - Moderate,Software Support,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10275,2026-03-06 23:54:00,2026-03-07 19:05:17,HR,3 - Moderate,Service Desk,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10276,2026-01-21 18:42:00,2026-01-22 21:54:51,HR,3 - Moderate,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10277,2026-04-11 04:38:00,2026-04-11 12:16:51,Hardware,2 - High,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10278,2026-04-07 20:50:00,2026-04-08 02:04:55,Network,3 - Moderate,Service Desk,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10279,2026-01-24 20:42:00,2026-01-25 02:43:16,Software,3 - Moderate,Software Support,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10280,2026-04-03 09:11:00,2026-04-03 11:16:26,Access,3 - Moderate,Service Desk,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10281,2026-02-19 07:08:00,2026-02-19 16:57:45,Hardware,3 - Moderate,Service Desk,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10282,2026-01-26 16:49:00,2026-01-26 23:11:31,Hardware,2 - High,Hardware Support,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10283,2026-02-03 19:24:00,2026-02-04 07:32:47,HR,2 - High,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10284,2026-02-12 23:28:00,2026-02-13 05:10:30,Hardware,2 - High,Hardware Support,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10285,2026-03-02 14:39:00,2026-03-02 19:07:22,Network,4 - Low,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10286,2026-05-17 07:19:00,2026-05-17 07:43:00,Software,2 - High,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10287,2026-05-27 14:29:00,2026-05-27 19:25:49,Access,4 - Low,Security Team,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10288,2026-05-16 13:10:00,2026-05-16 15:55:04,Software,2 - High,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10289,2026-01-14 20:30:00,2026-01-15 17:56:49,Hardware,4 - Low,Hardware Support,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10290,2026-02-01 09:05:00,2026-02-01 19:13:54,Software,4 - Low,Software Support,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10291,2026-05-12 04:53:00,2026-05-12 13:31:28,Hardware,3 - Moderate,Service Desk,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10292,2026-04-26 11:59:00,2026-04-26 17:27:36,Access,4 - Low,Security Team,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10293,2026-04-12 16:23:00,2026-04-12 19:43:14,Network,3 - Moderate,Service Desk,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10294,2026-04-06 07:01:00,2026-04-06 15:36:01,Hardware,3 - Moderate,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10295,2026-02-07 04:02:00,2026-02-07 10:35:00,Software,3 - Moderate,Software Support,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
